Phase,Total elapsed time,Phase elapsed time,"WLTC class 2, version 1.4, vehicle speed","WLTC class 2, version 1.4, acceleration","WLTC class 2, version 1.4, acceleration"
Phase,s,s,km/h,m/s²,km/h/s
Low,0,0,0.0 ,0.00,0.00
Low,1,1,0.0 ,0.00,0.00
Low,2,2,0.0 ,0.00,0.00
Low,3,3,0.0 ,0.00,0.00
Low,4,4,0.0 ,0.00,0.00
Low,5,5,0.0 ,0.00,0.00
Low,6,6,0.0 ,0.00,0.00
Low,7,7,0.0 ,0.00,0.00
Low,8,8,0.0 ,0.00,0.00
Low,9,9,0.0 ,0.00,0.00
Low,10,10,0.0 ,0.00,0.00
Low,11,11,0.0 ,0.00,0.00
Low,12,12,0.0 ,0.17,0.60
Low,13,13,1.2 ,0.36,1.30
Low,14,14,2.6 ,0.51,1.85
Low,15,15,4.9 ,0.65,2.35
Low,16,16,7.3 ,0.63,2.25
Low,17,17,9.4 ,0.57,2.05
Low,18,18,11.4 ,0.46,1.65
Low,19,19,12.7 ,0.26,0.95
Low,20,20,13.3 ,0.10,0.35
Low,21,21,13.4 ,0.00,0.00
Low,22,22,13.3 ,-0.04,-0.15
Low,23,23,13.1 ,-0.11,-0.40
Low,24,24,12.5 ,-0.28,-1.00
Low,25,25,11.1 ,-0.50,-1.80
Low,26,26,8.9 ,-0.68,-2.45
Low,27,27,6.2 ,-0.71,-2.55
Low,28,28,3.8 ,-0.61,-2.20
Low,29,29,1.8 ,-0.53,-1.90
Low,30,30,0.0 ,-0.25,-0.90
Low,31,31,0.0 ,0.00,0.00
Low,32,32,0.0 ,0.00,0.00
Low,33,33,0.0 ,0.21,0.75
Low,34,34,1.5 ,0.39,1.40
Low,35,35,2.8 ,0.32,1.15
Low,36,36,3.8 ,0.25,0.90
Low,37,37,4.6 ,0.21,0.75
Low,38,38,5.3 ,0.21,0.75
Low,39,39,6.1 ,0.18,0.65
Low,40,40,6.6 ,0.15,0.55
Low,41,41,7.2 ,0.18,0.65
Low,42,42,7.9 ,0.21,0.75
Low,43,43,8.7 ,0.19,0.70
Low,44,44,9.3 ,0.18,0.65
Low,45,45,10.0 ,0.19,0.70
Low,46,46,10.7 ,0.21,0.75
Low,47,47,11.5 ,0.22,0.80
Low,48,48,12.3 ,0.25,0.90
Low,49,49,13.3 ,0.26,0.95
Low,50,50,14.2 ,0.21,0.75
Low,51,51,14.8 ,0.07,0.25
Low,52,52,14.7 ,-0.06,-0.20
Low,53,53,14.4 ,-0.08,-0.30
Low,54,54,14.1 ,-0.11,-0.40
Low,55,55,13.6 ,-0.17,-0.60
Low,56,56,12.9 ,-0.22,-0.80
Low,57,57,12.0 ,-0.25,-0.90
Low,58,58,11.1 ,-0.21,-0.75
Low,59,59,10.5 ,-0.11,-0.40
Low,60,60,10.3 ,0.00,0.00
Low,61,61,10.5 ,-0.01,-0.05
Low,62,62,10.2 ,-0.18,-0.65
Low,63,63,9.2 ,-0.44,-1.60
Low,64,64,7.0 ,-0.61,-2.20
Low,65,65,4.8 ,-0.65,-2.35
Low,66,66,2.3 ,-0.67,-2.40
Low,67,67,0.0 ,-0.32,-1.15
Low,68,68,0.0 ,0.00,0.00
Low,69,69,0.0 ,0.00,0.00
Low,70,70,0.0 ,0.00,0.00
Low,71,71,0.0 ,0.00,0.00
Low,72,72,0.0 ,0.00,0.00
Low,73,73,0.0 ,0.00,0.00
Low,74,74,0.0 ,0.00,0.00
Low,75,75,0.0 ,0.00,0.00
Low,76,76,0.0 ,0.00,0.00
Low,77,77,0.0 ,0.00,0.00
Low,78,78,0.0 ,0.00,0.00
Low,79,79,0.0 ,0.00,0.00
Low,80,80,0.0 ,0.00,0.00
Low,81,81,0.0 ,0.00,0.00
Low,82,82,0.0 ,0.00,0.00
Low,83,83,0.0 ,0.00,0.00
Low,84,84,0.0 ,0.00,0.00
Low,85,85,0.0 ,0.00,0.00
Low,86,86,0.0 ,0.00,0.00
Low,87,87,0.0 ,0.00,0.00
Low,88,88,0.0 ,0.00,0.00
Low,89,89,0.0 ,0.00,0.00
Low,90,90,0.0 ,0.00,0.00
Low,91,91,0.0 ,0.00,0.00
Low,92,92,0.0 ,0.00,0.00
Low,93,93,0.0 ,0.00,0.00
Low,94,94,0.0 ,0.00,0.00
Low,95,95,0.0 ,0.00,0.00
Low,96,96,0.0 ,0.00,0.00
Low,97,97,0.0 ,0.00,0.00
Low,98,98,0.0 ,0.00,0.00
Low,99,99,0.0 ,0.00,0.00
Low,100,100,0.0 ,0.00,0.00
Low,101,101,0.0 ,0.00,0.00
Low,102,102,0.0 ,0.00,0.00
Low,103,103,0.0 ,0.00,0.00
Low,104,104,0.0 ,0.00,0.00
Low,105,105,0.0 ,0.00,0.00
Low,106,106,0.0 ,0.11,0.40
Low,107,107,0.8 ,0.19,0.70
Low,108,108,1.4 ,0.21,0.75
Low,109,109,2.3 ,0.29,1.05
Low,110,110,3.5 ,0.33,1.20
Low,111,111,4.7 ,0.33,1.20
Low,112,112,5.9 ,0.38,1.35
Low,113,113,7.4 ,0.46,1.65
Low,114,114,9.2 ,0.60,2.15
Low,115,115,11.7 ,0.60,2.15
Low,116,116,13.5 ,0.46,1.65
Low,117,117,15.0 ,0.38,1.35
Low,118,118,16.2 ,0.25,0.90
Low,119,119,16.8 ,0.18,0.65
Low,120,120,17.5 ,0.28,1.00
Low,121,121,18.8 ,0.39,1.40
Low,122,122,20.3 ,0.44,1.60
Low,123,123,22.0 ,0.46,1.65
Low,124,124,23.6 ,0.39,1.40
Low,125,125,24.8 ,0.28,1.00
Low,126,126,25.6 ,0.21,0.75
Low,127,127,26.3 ,0.22,0.80
Low,128,128,27.2 ,0.28,1.00
Low,129,129,28.3 ,0.33,1.20
Low,130,130,29.6 ,0.36,1.30
Low,131,131,30.9 ,0.36,1.30
Low,132,132,32.2 ,0.35,1.25
Low,133,133,33.4 ,0.40,1.45
Low,134,134,35.1 ,0.53,1.90
Low,135,135,37.2 ,0.50,1.80
Low,136,136,38.7 ,0.25,0.90
Low,137,137,39.0 ,-0.18,-0.65
Low,138,138,37.4 ,-0.71,-2.55
Low,139,139,33.9 ,-1.07,-3.85
Low,140,140,29.7 ,-0.99,-3.55
Low,141,141,26.8 ,-0.50,-1.80
Low,142,142,26.1 ,0.06,0.20
Low,143,143,27.2 ,0.42,1.50
Low,144,144,29.1 ,0.50,1.80
Low,145,145,30.8 ,0.39,1.40
Low,146,146,31.9 ,0.17,0.60
Low,147,147,32.0 ,-0.17,-0.60
Low,148,148,30.7 ,-0.49,-1.75
Low,149,149,28.5 ,-0.65,-2.35
Low,150,150,26.0 ,-0.71,-2.55
Low,151,151,23.4 ,-0.74,-2.65
Low,152,152,20.7 ,-0.83,-3.00
Low,153,153,17.4 ,-0.76,-2.75
Low,154,154,15.2 ,-0.54,-1.95
Low,155,155,13.5 ,-0.31,-1.10
Low,156,156,13.0 ,-0.15,-0.55
Low,157,157,12.4 ,-0.10,-0.35
Low,158,158,12.3 ,-0.03,-0.10
Low,159,159,12.2 ,0.00,0.00
Low,160,160,12.3 ,0.03,0.10
Low,161,161,12.4 ,0.03,0.10
Low,162,162,12.5 ,0.03,0.10
